t,count
1486056136,275872
1486056136,275872
1486056136,275872
1486056136,275872
1486056136,275872
1486056136,275872
1486056136,275872
1486056136,276804
1486056137,276804
1486056137,276804
1486056137,276804
1486056137,276804
1486056137,276804
1486056137,276804
1486056137,276804
1486056137,276804
1486056137,277736
1486056137,277736
1486056138,277736
1486056138,277736
1486056138,277736
1486056138,277736
1486056138,277736
1486056138,277736
1486056138,277736
1486056138,277736
1486056138,277736
1486056138,277736
1486056139,278668
1486056139,278668
1486056139,278668
1486056139,278668
1486056139,278668
1486056139,278668
1486056139,278668
1486056139,278668
1486056139,279600
1486056139,279600
1486056140,279600
1486056140,279600
1486056140,279600
1486056140,279600
1486056140,279600
1486056140,279600
1486056140,279600
1486056140,279600
1486056140,279600
1486056140,280532
1486056141,280532
1486056141,280532
1486056141,280532
1486056141,280532
1486056141,280532
1486056141,280532
1486056141,280532
1486056141,280532
1486056141,280532
1486056141,281464
1486056142,281464
1486056142,281464
1486056142,281464
1486056142,281464
1486056142,281464
1486056142,281464
1486056142,281464
1486056142,281464
1486056142,282396
1486056142,282396
1486056143,282396
1486056143,282396
1486056143,282396
1486056143,282396
1486056143,282396
1486056143,282396
1486056143,282396
1486056143,282396
1486056143,282396
1486056143,282396
1486056144,283328
1486056144,283328
1486056144,283328
1486056144,283328
1486056144,283328
1486056144,283328
1486056144,283328
1486056144,283328
1486056144,283328
1486056144,284260
1486056145,284260
1486056145,284260
1486056145,284260
1486056145,284260
1486056145,284260
1486056145,284260
1486056145,284260
1486056145,284260
1486056145,285192
1486056145,285192
1486056146,285192
1486056146,285192
1486056146,285192
1486056146,285192
1486056146,285192
1486056146,285192
1486056146,285192
1486056146,285192
1486056146,285192
1486056146,286124
1486056147,286124
1486056147,286124
1486056147,286124
1486056147,286124
1486056147,286124
1486056147,286124
1486056147,286124
1486056147,286124
1486056147,286124
1486056147,287056
1486056148,287056
1486056148,287056
1486056148,287056
1486056148,287056
1486056148,287056
1486056148,287056
1486056148,287056
1486056148,287056
1486056148,287988
1486056148,287988
1486056149,287988
1486056149,287988
1486056149,287988
1486056149,287988
1486056149,287988
1486056149,287988
1486056149,287988
1486056149,287988
1486056149,287988
1486056149,287988
1486056150,288920
1486056150,288920
1486056150,288920
1486056150,288920
1486056150,288920
1486056150,288920
1486056150,288920
1486056150,288920
1486056150,288920
1486056150,288920
1486056151,289852
1486056151,289852
1486056151,289852
1486056151,289852
1486056151,289852
1486056151,289852
1486056151,289852
1486056151,289852
1486056151,290784
1486056151,290784
1486056152,290784
1486056152,290784
1486056152,290784
1486056152,290784
1486056152,290784
1486056152,290784
1486056152,290784
1486056152,290784
1486056152,290784
1486056152,290784
1486056153,291716
1486056153,291716
1486056153,291716
1486056153,291716
1486056153,291716
1486056153,291716
1486056153,291716
1486056153,291716
1486056153,291716
1486056153,291716
1486056154,292648
1486056154,292648
1486056154,292648
1486056154,292648
1486056154,292648
1486056154,292648
1486056154,292648
1486056154,292648
1486056154,293580
1486056154,293580
1486056155,293580
1486056155,293580
1486056155,293580
1486056155,293580
1486056155,293580
1486056155,293580
1486056155,293580
1486056155,293580
1486056155,293580
1486056155,294512
1486056156,294512
1486056156,294512
1486056156,294512
1486056156,294512
1486056156,294512
1486056156,294512
1486056156,294512
1486056156,294512
1486056156,294512
1486056156,295444
1486056157,295444
1486056157,295444
1486056157,295444
1486056157,295444
1486056157,295444
1486056157,295444
1486056157,295444
1486056157,295444
1486056157,296376
1486056157,296376
1486056158,296376
1486056158,296376
1486056158,296376
1486056158,296376
1486056158,296376
1486056158,296376
1486056158,296376
1486056158,296376
1486056158,296376
1486056158,296376
1486056159,297308
1486056159,297308
1486056159,297308
1486056159,297308
1486056159,297308
1486056159,297308
1486056159,297308
1486056159,297308
1486056159,298240
1486056159,298240
1486056160,298240
1486056160,298240
1486056160,298240
1486056160,298240
1486056160,298240
1486056160,298240
1486056160,298240
1486056160,298240
1486056160,298240
1486056160,298240
1486056161,299172
1486056161,299172
1486056161,299172
1486056161,299172
1486056161,299172
1486056161,299172
1486056161,299172
1486056161,299172
1486056161,299172
1486056161,300104
1486056162,300104
1486056162,300104
1486056162,300104
1486056162,300104
1486056162,300104
1486056162,300104
1486056162,300104
1486056162,300104
1486056162,301036
1486056162,301036
1486056163,301036
1486056163,301036
1486056163,301036
1486056163,301036
1486056163,301036
1486056163,301036
1486056163,301036
1486056163,301036
1486056163,301036
1486056163,301968
1486056164,301968
1486056164,301968
1486056164,301968
1486056164,301968
1486056164,301968
1486056164,301968
1486056164,301968
1486056164,301968
1486056164,301968
1486056164,301968
1486056165,302900
1486056165,302900
1486056165,302900
1486056165,302900
1486056165,302900
1486056165,302900
1486056165,302900
1486056165,302900
1486056165,302900
1486056165,303832
1486056166,303832
1486056166,303832
1486056166,303832
1486056166,303832
1486056166,303832
1486056166,303832
1486056166,303832
1486056166,303832
1486056166,303832
1486056166,304764
1486056167,304764
1486056167,304764
1486056167,304764
1486056167,304764
1486056167,304764
1486056167,304764
1486056167,304764
1486056167,304764
1486056167,304764
1486056167,304764
1486056168,305696
1486056168,305696
1486056168,305696
1486056168,305696
1486056168,305696
1486056168,305696
1486056168,305696
1486056168,305696
1486056168,305696
1486056168,306628
1486056169,306628
1486056169,306628
1486056169,306628
1486056169,306628
1486056169,306628
1486056169,306628
1486056169,306628
1486056169,306628
1486056169,306628
1486056169,307560
1486056170,307560
1486056170,307560
1486056170,307560
1486056170,307560
1486056170,307560
1486056170,307560
1486056170,307560
1486056170,307560
1486056170,307560
1486056170,307560
1486056171,308492
1486056171,308492
1486056171,308492
1486056171,308492
1486056171,308492
1486056171,308492
1486056171,308492
1486056171,308492
1486056171,309424
1486056171,309424
1486056172,309424
1486056172,309424
1486056172,309424
1486056172,309424
1486056172,309424
1486056172,309424
1486056172,309424
1486056172,309424
1486056172,309424
1486056172,309424
1486056173,310356
1486056173,310356
1486056173,310356
1486056173,310356
1486056173,310356
1486056173,310356
1486056173,310356
1486056173,310356
1486056173,310356
1486056173,311288
1486056174,311288
1486056174,311288
1486056174,311288
1486056174,311288
1486056174,311288
1486056174,311288
1486056174,311288
1486056174,311288
1486056174,311288
1486056174,312220
1486056175,312220
1486056175,312220
1486056175,312220
1486056175,312220
1486056175,312220
1486056175,312220
1486056175,312220
1486056175,312220
1486056175,312220
1486056175,312220
1486056176,313152
1486056176,313152
1486056176,313152
1486056176,313152
1486056176,313152
1486056176,313152
1486056176,313152
1486056176,313152
1486056176,314084
1486056176,314084
1486056177,314084
1486056177,314084
1486056177,314084
1486056177,314084
1486056177,314084
1486056177,314084
1486056177,314084
1486056177,314084
1486056177,314084
1486056177,314084
1486056178,315016
1486056178,315016
1486056178,315016
1486056178,315016
1486056178,315016
1486056178,315016
1486056178,315016
1486056178,315016
1486056178,315016
1486056178,315948
1486056179,315948
1486056179,315948
1486056179,315948
1486056179,315948
1486056179,315948
1486056179,315948
1486056179,315948
1486056179,315948
1486056179,316880
1486056179,316880
1486056180,316880
1486056180,316880
1486056180,316880
1486056180,316880
1486056180,316880
1486056180,316880
1486056180,316880
1486056180,316880
1486056180,316880
1486056180,316880
1486056181,317812
1486056181,317812
1486056181,317812
1486056181,317812
1486056181,317812
1486056181,317812
1486056181,317812
1486056181,317812
1486056181,317812
1486056181,318744
1486056182,318744
1486056182,318744
1486056182,318744
1486056182,318744
1486056182,318744
1486056182,318744
1486056182,318744
1486056182,318744
1486056182,318744
1486056182,319676
1486056183,319676
1486056183,319676
1486056183,319676
1486056183,319676
1486056183,319676
1486056183,319676
1486056183,319676
1486056183,319676
1486056183,319676
1486056183,319676
1486056184,320608
1486056184,320608
1486056184,320608
1486056184,320608
1486056184,320608
1486056184,320608
1486056184,320608
1486056184,320608
1486056184,320608
1486056184,320608
1486056185,321540
1486056185,321540
1486056185,321540
1486056185,321540
1486056185,321540
1486056185,321540
1486056185,321540
1486056185,321540
1486056185,322472
1486056185,322472
1486056186,322472
1486056186,322472
1486056186,322472
1486056186,322472
1486056186,322472
1486056186,322472
1486056186,322472
1486056186,322472
1486056186,322472
1486056186,323404
1486056187,323404
1486056187,323404
1486056187,323404
1486056187,323404
1486056187,323404
1486056187,323404
1486056187,323404
1486056187,323404
1486056187,323404
1486056187,324336
1486056188,324336
1486056188,324336
1486056188,324336
1486056188,324336
1486056188,324336
1486056188,324336
